Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceReview,SentimentScore
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,"Employee 14 is a 35-year-old Male working in the Research & Development department. They have 1 satisfaction with their work environment and 2 job satisfaction. They have 6 years of total working experience, 5 years of experience with the current company, and 4 years of experience in their current role. Their job level is 1 and their monthly income is $2426 with a performance rating of 3.9. They have completed their PhD in Physics and related field and a bachelor's degree in Electrical Engineering",0.5994992852210999
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,"Employee 15 is a 29-year-old Female working in the Research & Development department. They have 4 satisfaction with their work environment and 3 job satisfaction. They have 10 years of total working experience, 9 years of experience with the current company, and 5 years of experience in their current role. Their job level is 2 and their monthly income is $4193 with a performance rating of 3.

This includes experience in research, development, and research & information. Job satisfaction

Job",0.8729527592658997
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,"Employee 16 is a 31-year-old Male working in the Research & Development department. They have 1 satisfaction with their work environment and 3 job satisfaction. They have 5 years of total working experience, 5 years of experience with the current company, and 2 years of experience in their current role. Their job level is 1 and their monthly income is $2911 with a performance rating of 3. They are eligible for the same job at a new company.

This is something they do for",0.9624031186103821
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,"Employee 18 is a 34-year-old Male working in the Research & Development department. They have 2 satisfaction with their work environment and 4 job satisfaction. They have 3 years of total working experience, 2 years of experience with the current company, and 2 years of experience in their current role. Their job level is 1 and their monthly income is $2661 with a performance rating of 3.40.

Job Status Average salary $40.44

Monthly income $1439",0.7745953798294067
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,"Employee 19 is a 28-year-old Male working in the Research & Development department. They have 3 satisfaction with their work environment and 3 job satisfaction. They have 6 years of total working experience, 4 years of experience with the current company, and 2 years of experience in their current role. Their job level is 1 and their monthly income is $2028 with a performance rating of 3.50. They have no children (1 parent).

Employee 22 is a 28-year",0.6296699643135071
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,"Employee 20 is a 29-year-old Female working in the Research & Development department. They have 2 satisfaction with their work environment and 1 job satisfaction. They have 10 years of total working experience, 10 years of experience with the current company, and 9 years of experience in their current role. Their job level is 3 and their monthly income is $9980 with a performance rating of 3.0.

I know it's probably a stretch but the job satisfaction numbers in this infographic are",0.9904481768608093
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,"Employee 21 is a 32-year-old Male working in the Research & Development department. They have 1 satisfaction with their work environment and 2 job satisfaction. They have 7 years of total working experience, 6 years of experience with the current company, and 2 years of experience in their current role. Their job level is 1 and their monthly income is $3298 with a performance rating of 3.5.

Employee 22 has a 33-year-old Male working in the Medical Research",0.7694686055183411
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,"Employee 22 is a 22-year-old Male working in the Research & Development department. They have 4 satisfaction with their work environment and 4 job satisfaction. They have 1 years of total working experience, 1 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $2935 with a performance rating of 3.0. They report a minimum of 0.0025 minutes of performance score but only 25 to 30",0.9028485417366028
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,"Employee 23 is a 53-year-old Female working in the Sales department. They have 1 satisfaction with their work environment and 4 job satisfaction. They have 31 years of total working experience, 25 years of experience with the current company, and 8 years of experience in their current role. Their job level is 4 and their monthly income is $15427 with a performance rating of 3.9 out of 5.

Employee 24 is an 82-year-old Male working in Sales and",0.6295049786567688
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,"Employee 24 is a 38-year-old Male working in the Research & Development department. They have 4 satisfaction with their work environment and 4 job satisfaction. They have 6 years of total working experience, 3 years of experience with the current company, and 2 years of experience in their current role. Their job level is 1 and their monthly income is $3944 with a performance rating of 3.25%. They are currently working as a Senior Development Analyst for EBI. Interviews are only available",0.9841729402542114
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,"Employee 26 is a 24-year-old Female working in the Research & Development department. They have 1 satisfaction with their work environment and 3 job satisfaction. They have 5 years of total working experience, 4 years of experience with the current company, and 2 years of experience in their current role. Their job level is 2 and their monthly income is $4011 with a performance rating of 3.11.

The HR department gives employees a bonus of $50 for each month in which they",0.8151078224182129
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,"Employee 27 is a 36-year-old Male working in the Sales department. They have 3 satisfaction with their work environment and 1 job satisfaction. They have 10 years of total working experience, 5 years of experience with the current company, and 3 years of experience in their current role. Their job level is 1 and their monthly income is $3407 with a performance rating of 4.5 or above. Employee 28 is a 39-year-old Male in the Retail/Services department using the",0.8869431614875793
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,"Employee 28 is a 34-year-old Female working in the Research & Development department. They have 1 satisfaction with their work environment and 2 job satisfaction. They have 13 years of total working experience, 12 years of experience with the current company, and 6 years of experience in their current role. Their job level is 3 and their monthly income is $11994 with a performance rating of 3.4.

Job Level Job satisfaction is typically a three-way question. The first question is",0.9215272068977356
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,"Employee 30 is a 21-year-old Male working in the Research & Development department. They have 3 satisfaction with their work environment and 4 job satisfaction. They have 0 years of total working experience, 0 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $1232 with a performance rating of 3.6/ 100. This is an average job title. Job Average:

Job Title: 12",0.9642088413238525
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,"Employee 31 is a 34-year-old Male working in the Research & Development department. They have 2 satisfaction with their work environment and 1 job satisfaction. They have 8 years of total working experience, 4 years of experience with the current company, and 2 years of experience in their current role. Their job level is 1 and their monthly income is $2960 with a performance rating of 3.


I am currently a volunteer, which means I love working in the Public Service. I am",0.9862223267555237
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,"Employee 32 is a 53-year-old Female working in the Research & Development department. They have 3 satisfaction with their work environment and 3 job satisfaction. They have 26 years of total working experience, 14 years of experience with the current company, and 13 years of experience in their current role. Their job level is 5 and their monthly income is $19094 with a performance rating of 3.0. Job Status:

This job position is only available to the Employee with a Current",0.9298562407493591
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,"Employee 33 is a 32-year-old Female working in the Research & Development department. They have 2 satisfaction with their work environment and 1 job satisfaction. They have 10 years of total working experience, 10 years of experience with the current company, and 2 years of experience in their current role. Their job level is 1 and their monthly income is $3919 with a performance rating of 4.2 or 4.5.

They have been to a lot of university. They have been",0.7642421722412109
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,"Employee 35 is a 42-year-old Male working in the Sales department. They have 3 satisfaction with their work environment and 2 job satisfaction. They have 10 years of total working experience, 9 years of experience with the current company, and 7 years of experience in their current role. Their job level is 2 and their monthly income is $6825 with a performance rating of 3.

The second job offered in August is a 34-year-old Female working at the Sales/F",0.7948058247566223
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,"Employee 36 is a 44-year-old Female working in the Research & Development department. They have 1 satisfaction with their work environment and 4 job satisfaction. They have 24 years of total working experience, 22 years of experience with the current company, and 6 years of experience in their current role. Their job level is 3 and their monthly income is $10248 with a performance rating of 3.0 / 2 (5 rating points).

How will employees know it? The HR employee may",0.9616017937660217
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,"Employee 38 is a 46-year-old Female working in the Sales department. They have 2 satisfaction with their work environment and 1 job satisfaction. They have 22 years of total working experience, 2 years of experience with the current company, and 2 years of experience in their current role. Their job level is 5 and their monthly income is $18947 with a performance rating of 3.

The company has 15 year experience with the current employee. Each year, a new employee completes a survey",0.5329056978225708
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,"Employee 39 is a 33-year-old Male working in the Research & Development department. They have 3 satisfaction with their work environment and 4 job satisfaction. They have 7 years of total working experience, 1 years of experience with the current company, and 1 years of experience in their current role. Their job level is 1 and their monthly income is $2496 with a performance rating of 3.6/5 with a grade of 4 on the Workforce Rating System.

We can find",0.7200973629951477
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,"Employee 40 is a 44-year-old Male working in the Research & Development department. They have 4 satisfaction with their work environment and 4 job satisfaction. They have 9 years of total working experience, 4 years of experience with the current company, and 2 years of experience in their current role. Their job level is 2 and their monthly income is $6465 with a performance rating of 3. They are currently in active HR and non-HR positions with an average age of 45.",0.6101496815681458
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,"Employee 41 is a 30-year-old Male working in the Research & Development department. They have 4 satisfaction with their work environment and 3 job satisfaction. They have 10 years of total working experience, 10 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $2206 with a performance rating of 3.6.

The Employee 41 Job Description

Employer 41 is a 25-year-",0.7742863893508911
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,"Employee 42 is a 39-year-old Male working in the Sales department. They have 4 satisfaction with their work environment and 4 job satisfaction. They have 19 years of total working experience, 1 years of experience with the current company, and 0 years of experience in their current role. Their job level is 2 and their monthly income is $2086 with a performance rating of 3.8 out of 5. The employees with the lowest earning hours are working the most hours all the while so they",0.9207824468612671
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,"Employee 45 is a 24-year-old Male working in the Research & Development department. They have 2 satisfaction with their work environment and 4 job satisfaction. They have 6 years of total working experience, 2 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $2293 with a performance rating of 3. This is a low monthly job search and a low rate of completion of the job description. They are",0.9975423812866211
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,"Employee 46 is a 43-year-old Female working in the Research & Development department. They have 4 satisfaction with their work environment and 3 job satisfaction. They have 6 years of total working experience, 5 years of experience with the current company, and 3 years of experience in their current role. Their job level is 1 and their monthly income is $2645 with a performance rating of 3.5/5 (outstanding), where 1 is the best and 1 is the worst. They are",0.9488459825515747
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,"Employee 47 is a 50-year-old Male working in the Sales department. They have 1 satisfaction with their work environment and 3 job satisfaction. They have 3 years of total working experience, 3 years of experience with the current company, and 2 years of experience in their current role. Their job level is 1 and their monthly income is $2683 with a performance rating of 3.

Employee 51 is a 50-year-old Male working in the Sales department. They have 6",0.8482469320297241
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,"Employee 49 is a 35-year-old Female working in the Sales department. They have 4 satisfaction with their work environment and 4 job satisfaction. They have 2 years of total working experience, 2 years of experience with the current company, and 2 years of experience in their current role. Their job level is 1 and their monthly income is $2014 with a performance rating of 3.3 stars. Work Experience Quality 7.9 7 7 7 7 7.9 Excellent 3.3 3 3 3",0.9353506565093994
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,"Employee 51 is a 36-year-old Female working in the Research & Development department. They have 2 satisfaction with their work environment and 1 job satisfaction. They have 6 years of total working experience, 1 years of experience with the current company, and 1 years of experience in their current role. Their job level is 1 and their monthly income is $3419 with a performance rating of 3.5 (100%) and is 6.3% below average, as well as having 6 years of",0.9556347727775574
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,"Employee 52 is a 33-year-old Female working in the Sales department. They have 3 satisfaction with their work environment and 1 job satisfaction. They have 10 years of total working experience, 5 years of experience with the current company, and 3 years of experience in their current role. Their job level is 2 and their monthly income is $5376 with a performance rating of 3.5 out of 5 stars.

Job title: Associate

Job Type: Retail Job Agency",0.7962236404418945
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,"Employee 53 is a 35-year-old Male working in the Research & Development department. They have 3 satisfaction with their work environment and 4 job satisfaction. They have 1 years of total working experience, 1 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $1951 with a performance rating of 3.0 (100%). This employment is a positive indicator of their business and are very similar to a company",0.9950684309005737
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,"Employee 54 is a 27-year-old Female working in the Research & Development department. They have 4 satisfaction with their work environment and 1 job satisfaction. They have 1 years of total working experience, 1 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $2341 with a performance rating of 3.9/50. They have 0 education or university certificates and have a GPA of 3.9/",0.9168426990509033
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,"Employee 55 is a 26-year-old Male working in the Research & Development department. They have 1 satisfaction with their work environment and 3 job satisfaction. They have 1 years of total working experience, 1 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $2293 with a performance rating of 3.30 to 3.80.

Average hourly pay for the first two months of the year is",0.8415682911872864
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,"Employee 56 is a 27-year-old Male working in the Sales department. They have 4 satisfaction with their work environment and 3 job satisfaction. They have 9 years of total working experience, 9 years of experience with the current company, and 8 years of experience in their current role. Their job level is 3 and their monthly income is $8726 with a performance rating of 3.5/5.

What do employees need?

A resume with a high level of flexibility and",0.9933542013168335
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,"Employee 57 is a 30-year-old Female working in the Research & Development department. They have 3 satisfaction with their work environment and 4 job satisfaction. They have 12 years of total working experience, 12 years of experience with the current company, and 8 years of experience in their current role. Their job level is 2 and their monthly income is $4011 with a performance rating of 4.5. They have experience in a 2-hour week with a team of 4 - 8-hour",0.7647790312767029
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,"Employee 58 is a 41-year-old Female working in the Research & Development department. They have 2 satisfaction with their work environment and 3 job satisfaction. They have 23 years of total working experience, 22 years of experience with the current company, and 15 years of experience in their current role. Their job level is 5 and their monthly income is $19545 with a performance rating of 3.

Their job has 1 positive and 6 negative results. They have about 100% confidence in their",0.5952343344688416
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,"Employee 60 is a 34-year-old Male working in the Sales department. They have 2 satisfaction with their work environment and 3 job satisfaction. They have 10 years of total working experience, 9 years of experience with the current company, and 5 years of experience in their current role. Their job level is 2 and their monthly income is $4568 with a performance rating of 4.00/5.00. They have the skills to make an organization more attractive to newcomers. This is an",0.9888817667961121
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,"Employee 61 is a 37-year-old Male working in the Research & Development department. They have 2 satisfaction with their work environment and 2 job satisfaction. They have 8 years of total working experience, 1 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $3022 with a performance rating of 4.75.""

The above ""appointment information"" section of LinkedIn does not provide much information about",0.9979667663574219
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,"Employee 62 is a 46-year-old Male working in the Sales department. They have 1 satisfaction with their work environment and 4 job satisfaction. They have 14 years of total working experience, 9 years of experience with the current company, and 6 years of experience in their current role. Their job level is 2 and their monthly income is $5772 with a performance rating of 4.6. The employee has a job rating at 1.0 and a total earnings of $35,906",0.6341728568077087
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,"Employee 63 is a 35-year-old Male working in the Research & Development department. They have 4 satisfaction with their work environment and 4 job satisfaction. They have 1 years of total working experience, 1 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $2269 with a performance rating of 3.90.

Job Information

What does Employment and Satisfaction measure?

In all",0.8961310982704163
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,"Employee 64 is a 48-year-old Male working in the Research & Development department. They have 1 satisfaction with their work environment and 3 job satisfaction. They have 23 years of total working experience, 1 years of experience with the current company, and 0 years of experience in their current role. Their job level is 3 and their monthly income is $5381 with a performance rating of 3.4 (good) and 3.6 (bad). They also have access to the internet.",0.9098182320594788
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,"Employee 65 is a 28-year-old Male working in the Research & Development department. They have 3 satisfaction with their work environment and 3 job satisfaction. They have 2 years of total working experience, 2 years of experience with the current company, and 2 years of experience in their current role. Their job level is 1 and their monthly income is $3441 with a performance rating of 3.

Employee 65 at one of the main research consulting firms in the world, provides a wide",0.9967971444129944
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,"Employee 68 is a 44-year-old Female working in the Sales department. They have 2 satisfaction with their work environment and 1 job satisfaction. They have 9 years of total working experience, 4 years of experience with the current company, and 3 years of experience in their current role. Their job level is 2 and their monthly income is $5454 with a performance rating of 4.

In this paper, I used data from LinkedIn as a base to demonstrate how successful and successful hiring managers",0.6143261790275574
